"","datum_zhopname","X0.4","X5.9","X10.19","X20.29","X30.39","X40.49","X50.59","X60.69","X70.79","X80.150"
1,"2020/02/26",0,0,0,0,0,0,0,0,0,0
2,"2020/02/27",0,0,0,0,0,0,0,0,0,0
3,"2020/02/28",0,0,0,0,0,0,0,0,0,0
4,"2020/02/29",0,0,0,0,0,0,0,0,0,0
5,"2020/03/01",0,0,0,0,0,0,0,0,0,0
6,"2020/03/02",0,0,1,0,1,0,1,2,0,1
7,"2020/03/03",0,0,0,0,1,1,1,1,4,3
8,"2020/03/04",0,0,0,0,0,2,0,2,7,1
9,"2020/03/05",0,0,0,0,0,2,2,1,3,4
10,"2020/03/06",0,0,0,1,0,3,2,1,1,4
11,"2020/03/07",0,0,4,0,1,2,1,3,3,2
12,"2020/03/08",0,0,2,0,2,5,0,2,1,1
13,"2020/03/09",0,0,0,0,0,0,0,4,8,4
14,"2020/03/10",0,0,4,0,1,1,1,3,1,5
15,"2020/03/11",0,0,1,2,2,6,1,3,5,3
16,"2020/03/12",0,0,0,1,1,3,1,2,7,5
17,"2020/03/13",0,0,0,4,4,3,4,3,3,4
18,"2020/03/14",0,0,0,1,6,3,5,3,3,7
19,"2020/03/15",0,0,0,1,1,2,2,8,4,3
20,"2020/03/16",0,0,0,0,4,5,6,6,11,3
21,"2020/03/17",0,0,0,3,3,8,9,3,11,3
22,"2020/03/18",0,0,0,1,2,2,5,15,8,15
23,"2020/03/19",0,0,0,2,2,7,10,7,15,18
24,"2020/03/20",0,0,0,1,2,4,7,13,16,21
25,"2020/03/21",0,0,0,2,4,2,14,17,26,23
26,"2020/03/22",0,0,0,0,6,8,11,21,18,21
27,"2020/03/23",0,0,1,2,2,8,7,25,27,32
28,"2020/03/24",0,0,0,2,5,9,15,18,22,40
29,"2020/03/25",0,0,0,2,7,8,22,24,28,44
30,"2020/03/26",1,0,1,3,5,8,17,33,31,29
31,"2020/03/27",0,1,2,2,6,15,23,20,40,32
32,"2020/03/28",0,0,1,2,6,12,25,29,36,54
33,"2020/03/29",0,1,0,5,5,8,11,19,34,36
34,"2020/03/30",0,0,1,1,9,13,17,30,21,47
35,"2020/03/31",0,0,3,2,7,5,23,35,27,55
36,"2020/04/01",0,0,1,2,1,13,12,27,32,56
37,"2020/04/02",0,0,0,4,8,9,19,24,33,51
38,"2020/04/03",0,0,2,2,6,11,12,16,23,41
39,"2020/04/04",0,1,1,5,6,7,15,18,20,47
40,"2020/04/05",0,0,0,2,2,7,9,13,28,58
41,"2020/04/06",0,0,4,8,4,5,12,15,20,49
42,"2020/04/07",0,0,1,5,5,6,8,14,25,42
43,"2020/04/08",0,0,0,0,4,8,18,12,25,42
44,"2020/04/09",0,0,0,2,2,13,5,13,16,30
45,"2020/04/10",0,0,2,3,7,6,13,7,15,46
46,"2020/04/11",0,0,0,2,5,15,6,11,17,35
47,"2020/04/12",0,0,0,3,6,3,12,12,12,35
48,"2020/04/13",0,0,1,5,3,3,9,9,13,34
