,datum_zhopname,X0.4,X5.9,X10.19,X20.29,X30.39,X40.49,X50.59,X60.69,X70.79,X80.150
1,26/02/2020,0,0,0,0,0,0,0,0,0,0
2,27/02/2020,0,0,0,0,0,0,0,0,0,0
3,28/02/2020,0,0,0,0,0,0,0,0,0,0
4,29/02/2020,0,0,0,0,0,0,0,0,0,0
5,01/03/2020,0,0,0,0,0,0,0,0,0,0
6,02/03/2020,0,0,1,0,1,0,1,2,0,2
7,03/03/2020,0,0,0,0,1,1,1,1,4,3
8,04/03/2020,0,0,0,0,0,2,0,2,7,1
9,05/03/2020,0,0,0,0,0,2,2,1,3,4
10,06/03/2020,0,0,0,1,0,3,2,1,1,4
11,07/03/2020,0,0,4,0,1,2,1,3,2,2
12,08/03/2020,0,0,2,0,2,4,0,2,1,1
13,09/03/2020,0,0,0,0,0,0,0,3,8,4
14,10/03/2020,1,0,4,0,1,1,1,3,1,4
15,11/03/2020,0,0,2,2,2,6,1,3,5,3
16,12/03/2020,0,0,0,1,1,3,1,2,7,5
17,13/03/2020,0,0,0,4,4,3,3,3,3,4
18,14/03/2020,0,0,0,1,5,3,5,3,3,7
19,15/03/2020,0,0,0,1,1,2,2,5,4,3
20,16/03/2020,0,0,0,0,4,5,6,5,11,3
21,17/03/2020,0,0,0,3,3,8,9,3,12,3
22,18/03/2020,1,0,0,1,2,2,5,15,9,13
23,19/03/2020,1,0,0,2,2,7,8,7,15,16
24,20/03/2020,1,0,0,1,2,5,7,12,14,20
25,21/03/2020,1,0,0,2,4,2,14,17,26,22
26,22/03/2020,0,0,0,0,5,8,11,23,16,20
27,23/03/2020,0,0,1,2,2,8,7,23,25,30
28,24/03/2020,1,0,0,1,5,9,15,18,22,39
29,25/03/2020,0,0,0,2,6,9,19,23,26,39
30,26/03/2020,0,0,1,3,5,8,16,32,31,30
31,27/03/2020,0,1,2,2,6,15,20,20,38,33
32,28/03/2020,0,0,1,2,6,12,24,28,36,51
33,29/03/2020,1,1,0,5,5,8,13,20,33,35
34,30/03/2020,0,0,2,2,8,13,17,29,22,48
35,31/03/2020,0,0,3,2,7,5,23,35,25,53
36,01/04/2020,0,0,1,2,1,11,12,27,32,54
37,02/04/2020,1,0,1,4,7,10,18,26,33,49
38,03/04/2020,2,0,2,2,6,12,13,16,22,40
39,04/04/2020,0,1,1,3,6,7,14,18,23,47
40,05/04/2020,0,0,0,2,2,7,9,12,28,59
41,06/04/2020,1,0,4,8,4,5,11,14,21,47
42,07/04/2020,0,0,1,5,5,6,9,13,27,41
43,08/04/2020,0,0,0,0,4,8,19,12,23,44
44,09/04/2020,1,0,0,2,2,13,5,13,15,29
45,10/04/2020,2,0,2,3,7,7,14,7,15,41
46,11/04/2020,0,0,0,2,7,15,5,13,16,35
47,12/04/2020,0,0,0,3,6,3,11,13,11,35
