"","datum_zhopname","X0.4","X5.9","X10.19","X20.29","X30.39","X40.49","X50.59","X60.69","X70.79","X80.150"
1,"2020/02/26",0,0,0,0,0,0,0,0,0,0
2,"2020/02/27",0,0,0,0,0,0,0,0,0,0
3,"2020/02/28",0,0,0,0,0,0,0,0,0,0
4,"2020/02/29",0,0,0,0,0,0,0,0,0,0
5,"2020/03/01",0,0,0,0,0,0,0,0,0,0
6,"2020/03/02",0,0,1,0,1,0,1,2,0,2
7,"2020/03/03",0,0,0,0,2,1,1,1,4,3
8,"2020/03/04",0,0,0,0,0,1,1,2,5,1
9,"2020/03/05",0,0,0,0,0,0,3,1,3,5
10,"2020/03/06",0,0,0,1,0,3,1,1,1,4
11,"2020/03/07",0,0,2,2,0,3,1,3,2,2
12,"2020/03/08",0,0,3,0,2,4,1,1,2,1
13,"2020/03/09",0,0,0,0,0,0,0,2,7,5
14,"2020/03/10",1,0,4,0,1,0,3,3,2,5
15,"2020/03/11",0,0,2,2,2,5,2,3,5,3
16,"2020/03/12",0,0,1,1,0,5,1,2,6,5
17,"2020/03/13",0,0,0,4,4,3,4,3,4,2
18,"2020/03/14",0,0,0,1,5,3,5,3,3,7
19,"2020/03/15",0,0,0,1,1,2,3,7,7,4
20,"2020/03/16",0,0,0,0,3,5,4,9,11,3
21,"2020/03/17",0,0,0,3,3,8,10,3,12,3
22,"2020/03/18",1,0,0,1,3,2,4,14,9,13
23,"2020/03/19",1,0,0,2,2,6,9,8,15,17
24,"2020/03/20",1,0,0,0,3,5,7,11,13,21
25,"2020/03/21",1,0,0,2,4,1,15,16,26,25
26,"2020/03/22",0,0,0,0,5,7,10,22,16,21
27,"2020/03/23",0,0,0,3,1,9,8,16,27,29
28,"2020/03/24",0,0,0,1,3,10,15,17,22,44
29,"2020/03/25",0,0,0,2,5,10,18,23,25,41
30,"2020/03/26",0,0,1,1,5,7,14,36,30,31
31,"2020/03/27",0,1,3,2,6,15,21,22,37,34
32,"2020/03/28",0,0,1,1,9,10,21,29,41,53
33,"2020/03/29",1,1,0,5,4,8,16,21,32,38
34,"2020/03/30",0,0,3,2,8,14,18,29,23,51
35,"2020/03/31",0,0,3,3,7,5,23,36,26,54
36,"2020/04/01",0,0,1,3,3,11,13,28,31,53
37,"2020/04/02",1,0,1,4,9,11,20,25,31,52
38,"2020/04/03",3,0,2,2,6,12,12,19,24,41
39,"2020/04/04",1,1,1,4,7,6,11,15,23,52
40,"2020/04/05",0,0,0,2,2,7,10,12,25,58
41,"2020/04/06",1,0,4,5,7,6,11,16,18,55
42,"2020/04/07",0,0,1,5,5,7,9,13,21,46
43,"2020/04/08",0,0,0,0,5,8,20,11,23,44
44,"2020/04/09",1,0,0,2,2,14,5,15,14,29
45,"2020/04/10",2,0,2,2,7,6,14,8,17,41
46,"2020/04/11",0,0,0,2,6,16,5,12,17,36
47,"2020/04/12",0,0,0,3,6,3,14,13,11,34
48,"2020/04/13",0,0,1,4,5,3,12,11,11,33
