"X0.4","X5.9","X10.19","X20.29","X30.39","X40.49","X50.59","X60.69","X70.79","X80.150"
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,1,2,0,1
0,0,0,0,1,1,1,1,4,3
0,0,0,0,0,2,0,2,7,1
0,0,0,0,0,2,2,1,3,4
0,0,0,1,0,3,2,1,1,4
0,0,4,0,1,2,1,3,3,2
0,0,2,0,2,5,0,2,1,1
0,0,0,0,0,0,0,4,8,4
0,0,4,0,1,1,1,3,1,5
0,0,1,2,2,6,1,3,5,3
0,0,0,1,1,3,1,2,7,5
0,0,0,4,4,3,4,3,3,4
0,0,0,1,6,3,5,3,3,7
0,0,0,1,1,2,2,8,4,3
0,0,0,0,4,5,6,6,11,3
0,0,0,3,3,8,9,3,11,3
0,0,0,1,2,2,5,15,8,15
0,0,0,2,2,7,10,7,15,18
0,0,0,1,2,4,7,13,16,21
0,0,0,2,4,2,14,17,26,23
0,0,0,0,6,8,11,21,18,21
0,0,1,2,2,8,7,25,27,32
0,0,0,2,5,9,15,18,22,40
0,0,0,2,7,8,22,24,28,44
1,0,1,3,5,8,17,33,31,29
0,1,2,2,6,15,23,20,40,32
0,0,1,2,6,12,25,29,36,54
0,1,0,5,5,8,11,19,34,36
0,0,1,1,9,13,17,30,21,47
0,0,3,2,7,5,23,35,27,55
0,0,1,2,1,13,12,27,32,56
0,0,0,4,8,9,19,24,33,51
0,0,2,2,6,11,12,16,23,41
0,1,1,5,6,7,15,18,20,47
0,0,0,2,2,7,9,13,28,58
0,0,4,8,4,5,12,15,20,49
0,0,1,5,5,6,8,14,25,42
0,0,0,0,4,8,18,12,25,42
0,0,0,2,2,13,5,13,16,30
0,0,2,3,7,6,13,7,15,46
0,0,0,2,5,15,6,11,17,35
0,0,0,3,6,3,12,12,12,35
0,0,1,5,3,3,9,9,13,34
0,1,2,7,3,3,7,14,15,43
0,0,1,4,4,5,5,12,18,37
1,0,0,1,4,7,12,10,16,34
2,0,0,2,2,8,13,14,17,32
0,1,0,2,2,6,10,13,8,30
0,0,0,1,1,4,3,12,10,20
0,0,1,1,5,5,8,4,18,24
0,0,1,1,3,2,6,7,7,25
0,2,1,1,1,4,5,10,12,20
0,0,1,1,3,3,5,7,9,30
0,0,2,1,2,3,9,7,10,24
0,0,2,1,2,4,6,4,11,22
0,0,1,1,2,3,5,0,5,22
0,1,1,0,3,1,5,4,8,11
0,0,1,0,1,4,6,4,4,12
0,0,1,3,4,4,6,6,1,12
0,0,0,4,0,4,2,6,7,19
0,1,1,1,3,4,5,6,4,17
0,0,0,3,4,4,4,2,7,10
0,0,0,1,0,1,5,3,9,10
0,0,0,2,6,4,2,5,8,13
0,0,2,0,1,5,1,1,5,17
0,0,0,0,0,5,3,3,5,13
1,0,1,2,5,1,2,5,7,12
0,0,0,3,3,0,3,2,2,10
0,0,0,0,1,2,6,8,6,14
0,0,0,2,2,3,2,3,6,13
0,0,0,2,1,1,7,3,3,12
0,0,0,1,4,2,3,4,3,7
0,0,0,2,2,4,6,3,7,16
0,0,0,1,6,2,2,4,5,18
