"X0.4","X5.9","X10.19","X20.29","X30.39","X40.49","X50.59","X60.69","X70.79","X80.150"
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,1,2,0,2
0,0,0,0,1,1,1,1,4,3
0,0,0,0,0,2,0,2,7,1
0,0,0,0,0,2,2,1,3,4
0,0,0,1,0,3,2,1,1,4
0,0,4,0,1,2,1,3,2,2
0,0,2,0,2,4,0,2,1,1
0,0,0,0,0,0,0,3,8,4
1,0,4,0,1,1,1,3,1,4
0,0,2,2,2,6,1,3,5,3
0,0,0,1,1,3,1,2,7,5
0,0,0,4,4,3,3,3,3,4
0,0,0,1,5,3,5,3,3,7
0,0,0,1,1,2,2,5,4,3
0,0,0,0,4,5,6,5,11,3
0,0,0,3,3,8,9,3,12,3
1,0,0,1,2,2,5,15,9,13
1,0,0,2,2,7,8,7,15,16
1,0,0,1,2,5,7,12,14,20
1,0,0,2,4,2,14,17,26,22
0,0,0,0,5,8,11,23,16,20
0,0,1,2,2,8,7,23,25,30
1,0,0,1,5,9,15,18,22,39
0,0,0,2,6,9,19,23,26,39
0,0,1,3,5,8,16,32,31,30
0,1,2,2,6,15,20,20,38,33
0,0,1,2,6,12,24,28,36,51
1,1,0,5,5,8,13,20,33,35
0,0,2,2,8,13,17,29,22,48
0,0,3,2,7,5,23,35,25,53
0,0,1,2,1,11,12,27,32,54
1,0,1,4,7,10,18,26,33,49
2,0,2,2,6,12,13,16,22,40
0,1,1,3,6,7,14,18,23,47
0,0,0,2,2,7,9,12,28,59
1,0,4,8,4,5,11,14,21,47
0,0,1,5,5,6,9,13,27,41
0,0,0,0,4,8,19,12,23,44
1,0,0,2,2,13,5,13,15,29
2,0,2,3,7,7,14,7,15,41
0,0,0,2,7,15,5,13,16,35
0,0,0,3,6,3,11,13,11,35
0,0,1,5,4,3,9,10,12,35
3,1,2,7,3,2,9,15,16,40
0,0,1,4,2,5,6,12,21,35
1,0,0,1,4,7,12,10,16,34
2,0,1,2,2,8,13,14,16,28
1,1,0,2,2,6,10,14,9,28
0,0,0,1,2,3,4,11,10,20
0,0,1,1,5,4,7,4,19,23
2,0,1,1,3,2,6,7,7,22
0,2,2,1,2,4,5,10,12,19
1,0,1,1,3,2,5,7,9,25
0,0,2,1,2,3,9,7,9,27
0,0,2,1,2,4,5,4,12,23
0,0,0,1,2,3,3,0,5,23
0,1,1,0,3,1,5,4,7,11
0,0,1,0,1,2,6,4,4,13
1,0,1,3,3,4,5,7,1,14
0,0,0,3,0,3,2,6,8,19
1,1,1,1,3,4,4,5,4,16
1,0,0,2,3,4,4,2,7,9
1,0,0,1,0,1,5,3,9,10
0,0,0,2,6,5,2,7,7,11
2,0,2,0,1,5,1,2,5,15
0,0,0,1,0,4,4,4,5,13
1,0,1,2,5,1,2,5,7,14
2,1,0,3,3,0,2,2,2,8
0,0,0,0,1,2,7,8,6,14
0,0,0,2,2,3,2,3,6,12
1,0,0,2,1,1,7,3,3,12
1,0,0,1,5,2,4,4,4,8
1,0,0,2,2,6,6,3,5,15
3,0,1,1,6,2,2,4,7,15
