"X0.4","X5.9","X10.19","X20.29","X30.39","X40.49","X50.59","X60.69","X70.79","X80.150"
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,1,2,0,2
0,0,0,0,1,1,1,1,4,3
0,0,0,0,0,2,0,2,7,1
0,0,0,0,0,2,2,1,3,4
0,0,0,1,0,3,2,1,1,4
0,0,4,0,2,2,1,3,2,2
0,0,2,0,2,4,1,2,1,1
0,0,0,0,0,0,0,3,9,4
1,0,4,0,1,1,1,5,1,4
0,0,1,2,2,7,1,3,5,3
0,0,0,1,1,3,1,2,7,6
0,0,0,4,5,3,3,3,3,5
0,0,0,1,5,3,5,3,3,8
0,0,0,1,1,2,2,5,4,3
0,0,0,0,5,5,6,5,11,3
0,0,0,3,3,8,10,3,11,3
1,0,0,1,2,2,5,16,8,13
1,0,0,2,2,8,8,7,15,16
1,0,0,1,2,4,7,12,14,20
1,0,0,2,4,2,15,17,28,25
0,0,0,0,5,8,11,22,17,20
0,0,1,2,2,8,8,23,27,30
1,0,0,1,5,9,16,18,23,40
0,0,0,2,6,9,19,23,27,40
0,0,1,3,5,8,17,33,31,31
0,1,2,2,6,15,20,19,38,32
0,0,1,2,6,13,25,29,37,51
1,1,0,5,5,8,12,18,33,36
0,0,1,2,8,12,16,31,21,46
0,0,3,2,7,5,23,35,24,55
0,0,1,2,1,11,12,28,32,55
1,0,0,4,8,9,18,25,33,51
2,0,2,2,6,11,12,16,22,40
0,1,1,3,6,7,14,18,20,48
0,0,0,3,2,7,9,12,26,59
1,0,4,8,4,5,12,14,20,48
0,0,1,5,6,6,8,13,25,41
0,0,0,0,4,8,18,12,25,43
1,0,0,2,2,13,5,14,16,29
2,0,2,3,7,6,13,7,17,42
0,0,0,2,6,16,5,13,16,35
0,0,0,3,6,3,11,12,10,34
0,0,1,5,3,3,10,10,12,36
2,1,2,7,3,2,7,14,15,40
0,0,1,4,2,5,5,12,21,36
1,0,0,1,4,8,12,11,16,35
2,0,0,2,2,8,13,14,16,28
1,1,0,2,2,5,10,13,8,28
0,0,0,1,2,3,3,11,10,19
0,0,1,1,6,4,7,4,18,23
2,0,1,1,3,2,6,7,7,23
0,2,1,1,1,4,5,9,12,19
1,0,1,2,3,2,5,7,10,23
0,0,2,1,2,3,9,7,10,26
0,0,2,1,2,4,5,4,12,22
0,0,0,1,2,3,3,0,5,23
0,1,1,0,3,1,5,4,8,11
0,0,1,0,1,2,6,4,4,13
2,0,1,3,3,4,6,6,1,13
0,0,0,3,0,3,2,6,7,19
0,1,1,1,3,4,4,5,4,17
0,0,0,2,3,4,4,2,7,9
1,0,0,1,0,1,5,3,9,9
0,0,0,2,6,4,2,5,7,12
2,0,2,0,2,5,1,1,5,14
0,0,0,0,0,4,3,3,5,12
1,0,1,2,5,1,2,6,8,12
2,0,0,4,4,0,2,1,2,7
0,0,0,0,1,2,7,7,6,14
0,0,0,2,2,3,2,3,6,12
1,0,0,2,1,1,7,3,3,12
2,0,0,1,5,2,3,4,3,6
1,0,0,2,2,4,7,2,5,16
3,0,0,1,7,2,2,4,5,15
