"X0.4","X5.9","X10.19","X20.29","X30.39","X40.49","X50.59","X60.69","X70.79","X80.150"
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,1,2,0,2
0,0,0,0,2,1,1,1,4,3
0,0,0,0,0,1,1,2,5,1
0,0,0,0,0,0,3,1,3,5
0,0,0,1,0,3,1,1,1,4
0,0,2,2,0,3,1,3,2,2
0,0,3,0,2,4,1,1,2,1
0,0,0,0,0,0,0,2,7,5
1,0,4,0,1,0,3,3,2,5
0,0,2,2,2,5,2,3,5,3
0,0,1,1,0,5,1,2,6,5
0,0,0,4,4,3,4,3,4,2
0,0,0,1,5,3,5,3,3,7
0,0,0,1,1,2,3,7,7,4
0,0,0,0,3,5,4,9,11,3
0,0,0,3,3,8,10,3,12,3
1,0,0,1,3,2,4,14,9,13
1,0,0,2,2,6,9,8,15,17
1,0,0,0,3,5,7,11,13,21
1,0,0,2,4,1,15,16,26,25
0,0,0,0,5,7,10,22,16,21
0,0,0,3,1,9,8,16,27,29
0,0,0,1,3,10,15,17,22,44
0,0,0,2,5,10,18,23,25,41
0,0,1,1,5,7,14,36,30,31
0,1,3,2,6,15,21,22,37,34
0,0,1,1,9,10,21,29,41,53
1,1,0,5,4,8,16,21,32,38
0,0,3,2,8,14,18,29,23,51
0,0,3,3,7,5,23,36,26,54
0,0,1,3,3,11,13,28,31,53
1,0,1,4,9,11,20,25,31,52
3,0,2,2,6,12,12,19,24,41
1,1,1,4,7,6,11,15,23,52
0,0,0,2,2,7,10,12,25,58
1,0,4,5,7,6,11,16,18,55
0,0,1,5,5,7,9,13,21,46
0,0,0,0,5,8,20,11,23,44
1,0,0,2,2,14,5,15,14,29
2,0,2,2,7,6,14,8,17,41
0,0,0,2,6,16,5,12,17,36
0,0,0,3,6,3,14,13,11,34
0,0,1,4,5,3,12,11,11,33
3,1,2,6,4,4,9,13,16,39
0,0,1,5,3,6,6,11,22,37
1,0,1,1,4,8,12,11,14,35
0,2,1,3,3,8,13,16,15,27
1,0,1,2,2,4,11,14,8,30
0,1,0,1,2,4,3,11,10,18
0,0,2,1,6,4,7,4,18,25
2,0,0,1,3,2,6,6,8,22
0,1,0,2,2,4,5,9,11,18
1,0,1,2,3,1,5,7,7,21
0,0,2,1,2,3,7,8,10,26
0,0,2,1,4,4,6,5,12,22
0,0,1,1,2,4,5,0,5,20
0,1,1,1,3,1,4,6,6,14
0,0,1,0,2,2,6,4,5,13
2,0,0,4,4,3,6,6,1,10
1,0,0,4,0,3,3,5,7,17
1,1,1,0,4,4,4,4,4,17
1,0,0,2,3,5,3,3,5,10
1,0,0,1,0,1,5,3,10,9
0,0,0,2,6,6,2,6,7,14
2,0,2,0,1,4,2,3,4,15
0,0,0,0,2,4,4,3,5,14
1,1,1,3,3,3,2,4,9,13
1,1,0,3,4,0,2,2,2,7
0,0,0,0,1,1,7,8,4,15
0,0,0,1,4,3,2,3,6,11
1,0,0,2,1,1,6,3,4,11
1,0,0,1,5,2,3,4,3,7
1,0,0,2,3,4,5,2,3,16
3,0,0,1,6,2,3,3,4,15
1,0,0,3,2,8,4,3,3,12
1,0,1,1,4,1,8,5,4,8
2,1,1,2,3,0,6,2,6,7
2,0,0,1,2,5,1,2,2,1
2,0,0,2,1,3,4,6,3,8
0,0,1,3,4,4,4,6,11,3
0,0,1,0,4,2,0,2,2,6
3,0,0,1,0,1,1,4,5,9
1,0,0,0,2,3,3,9,2,12
2,0,0,1,3,2,4,4,1,12
1,0,0,2,4,3,6,0,3,7
3,1,0,0,3,2,4,2,8,9
1,0,1,2,1,1,3,7,9,22
2,0,0,2,5,5,6,3,7,12
0,2,0,0,1,2,3,2,5,12
1,0,0,2,2,2,2,5,4,10
