"epsilon","zeta","nu_short[1]","nu_short[2]","nu_short[3]","nu_short[4]","nu_short[5]","nu_short[6]","nu_short[7]","nu_short[8]","nu_short[9]","nu_short[10]","inoculum","beta_short[1]","beta_short[2]","beta_short[3]","r","alpha","gamma","x0","k0","x1","k1","x2","k2","x3","k3","x4","k4","u1","u2","u3","u4"
0.0625098,0.675456,0.000215252,0.000221913,0.000272293,0.000774921,0.00107843,0.00152044,0.00267919,0.00595729,0.0127614,0.0382718,0.000135937,0.637808,0.976863,1,60.5068,0.266079,0.31772,27.4977,0.512682,62.1271,1.56085,180.172,0.816814,260.335,1.10402,297.075,2.66997,0.207202,0.398762,0.247623,0.449136
0.0627115,0.715538,0.000310712,0.000267945,0.000418112,0.000854784,0.00118803,0.00152381,0.00301687,0.00649595,0.0139698,0.0422866,0.000121788,0.59389,0.973584,1,69.4217,0.275286,0.324595,28.0761,0.897931,64.3205,0.680604,180.731,0.829309,262.258,0.370791,295.057,0.312396,0.207478,0.402053,0.22091,0.458899
0.0581746,0.570825,0.000295815,0.000270042,0.000423599,0.000710187,0.000931991,0.00127832,0.00242745,0.00491135,0.0107401,0.0332979,0.000150722,0.421477,0.961194,1,41.376,0.249857,0.256364,28.191,0.550734,62.4244,2.33193,177.043,1.56705,259.178,2.32829,300.249,2.4342,0.203356,0.392067,0.232666,0.459513
0.0580278,0.663781,0.00021854,0.000260633,0.000383793,0.000668671,0.000954515,0.00129232,0.00246903,0.00514109,0.0111614,0.03414,0.000131951,0.533087,0.991232,1,74.0924,0.270394,0.28589,28.5357,2.98184,63.3076,0.819505,180.242,1.09545,261.812,0.445327,295.696,0.732608,0.202013,0.399014,0.224287,0.464161
0.0455697,0.731846,0.000172759,0.000172746,0.00031447,0.000769788,0.000998287,0.00138798,0.00260384,0.00551163,0.0122572,0.0382567,0.000131837,0.582169,0.968234,1,54.6519,0.371952,0.239967,28.204,0.632177,63.825,2.08723,176.622,0.968495,260.456,0.416274,297.494,1.56252,0.205375,0.405337,0.22496,0.443588
0.052005,0.693105,0.000275333,0.000204237,0.000413224,0.000734196,0.00105706,0.00140797,0.00268428,0.00590996,0.0127656,0.039924,0.00011833,0.522493,0.998472,1,53.1973,0.339737,0.265607,27.1723,0.502423,61.185,1.10012,180.996,1.03292,260.416,1.28081,297.011,0.443147,0.203616,0.394267,0.222796,0.440643
0.0559673,0.756865,0.000282539,0.000212049,0.000462539,0.000893791,0.00115671,0.00159806,0.00286423,0.00621717,0.0136222,0.041113,0.00012518,0.52019,0.995838,1,58.4316,0.307992,0.297788,27.8964,0.567695,63.1893,2.11608,176.537,1.90434,261.591,0.707873,298.37,2.63873,0.196625,0.397712,0.235839,0.467556
0.0601301,0.748278,0.000417472,0.00038246,0.000550698,0.00089143,0.00124048,0.00159295,0.00310216,0.00667697,0.014183,0.0447866,0.000104496,0.450726,0.970872,1,58.7431,0.317464,0.312229,28.3943,0.913599,60.8712,2.04087,176.679,0.99355,262.476,0.533711,298.971,0.552462,0.205245,0.40659,0.238403,0.480482
0.0560952,0.64044,0.000541224,0.000554799,0.000852048,0.000712285,0.000989157,0.0012063,0.00229265,0.00492508,0.0108471,0.032859,0.000146815,0.26151,0.993869,1,55.1321,0.308996,0.267444,27.887,0.310376,62.0258,0.855154,180.385,1.23586,260.312,1.02627,295.163,1.57051,0.224532,0.420887,0.257481,0.474155
0.0623424,0.794351,0.000286713,0.000216459,0.000434028,0.000962717,0.00137985,0.00185402,0.00360011,0.0074067,0.015941,0.0487517,8.58003e-05,0.605921,0.942304,1,56.8026,0.32835,0.327412,27.2139,1.02641,62.7772,2.75642,178.58,1.35337,260.953,1.34036,300.014,1.01427,0.181673,0.373932,0.221833,0.429515
